Lapangan Usaha,Jumlah (tahun 2017)
"Pertanian, Kehutanan dan Perikanan",589909.4
Pertambangan dan Penggalian,20544.8
Industri Pengolahan,69881287.9
Pengadaan Listrik dan Gas,1541129
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",564406.8
Konstruksi,36208179
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",103301112.8
Trasportasi dan Pergudangan,17707950.2
Jasa Perusahaan,8278199.9
"Administrasi Pemerintahan, Pertanahan dan Jaminan Sosial",4597265.3
Jasa Pendidikan,8531781.7
Jasa Kesehatan dan Kegiatan Sosial,2804625.2
Jasa Lainnya,5224597
