Kecamatan,Laki-laki,Perempuan,Jumlah
Tegalsari,476,468,944
Genteng,294,298,592
Bubutan,520,491,1011
Simokerto,500,472,972
Pabean Cantikan,377,338,715
Semampir,1040,964,2004
Krembangan,597,525,1122
Kenjeran,993,346,1939
Bulak,260,250,510
Tambaksari,1196,1145,2341
Gubeng,687,661,1348
Rungkut,612,570,1182
Tenggilis Mejoyo,348,308,656
Gunung Anyar,317,319,636
Sukolilo,631,581,1212
Mulyorejo,473,416,889
Sawahan,992,970,1962
Wonokromo,765,737,1502
Karangpilang,397,374,771
Dukuh Pakis,312,284,596
Wiyung,367,397,764
Wonocolo,410,379,789
Gayungan,226,216,442
Jambangan,337,268,605
Tandes,529,501,1030
Sukomanunggal,505,519,1024
Asemrowo,251,263,514
Benowo,373,367,740
Lakarsantri,364,316,680
Pakal,322,288,616
Sambikerep,364,348,712

