Kecamatan/ Sub District,2011,2012,2013,2014,2015,2016
Surabaya Pusat Tegalsari,762,951,642,1176,757,802
Genteng,534,588,398,864,444,413
Bubutan,690,950,659,1048,675,723
Simokerto,970,887,563,730,600,711
Surabaya Utara Pabean Cantian,895,743,501,725,499,629
Semampir,955,1153,685,1825,832,1286
Krembangan,226,587,600,729,594,747
Kenjeran,452,1008,682,1105,774,929
Bulak,220,260,178,248,239,266
Surabaya Timur Tambak Sari,1030,1156,1280,2225,1448,1691
Gubeng,895,1194,859,1428,1061,1069
Rungkut,463,569,476,674,583,640
Tenggilis Mejoyo,307,373,280,352,320,387
Gunung Anyar,226,305,234,338,298,338
Sukolilo,467,578,509,614,579,689
Mulyorejo,386,480,411,567,440,513
Surabaya Selatan Sawahan,1106,2006,1321,2270,1431,1650
Wonokromo,1324,1502,1001,1828,1170,1257
Karang Pilang,315,376,389,558,436,534
Dukuh Pakis,276,378,317,390,358,375
Wiyung,318,461,338,388,386,393
Wonocolo,259,397,433,583,527,568
Gayungan,281,248,187,259,240,289
Jambangan,305,287,193,303,294,362
Surabaya Barat Tandes,644,741,523,706,608,673
Sukomanunggal,532,652,527,673,584,681
Asemrowo,53,109,177,328,236,231
Benowo,263,309,217,311,374,385
Lakarsantri,301,456,280,414,359,367
Pakal,48,159,204,321,274,315
Sambikerep,320,459,330,371,383,391
Jumlah/Total,15823,20322,15394,24351,17803,20304
