Madrasah Aliyah menurut Akreditasi/ Islamic Senior High School,,,,,
Kecamatan,A,B,C,TT,Jumlah/ Total
Asemrowo,1,0,0,0,1
Benowo,2,0,0,0,2
Bulak,1,0,0,0,1
Dukuh Pakis,0,1,0,0,1
Gayungan,1,0,0,0,1
Kenjeran,0,2,2,0,4
Krembangan,1,0,0,0,1
Lakarsantri,2,0,0,0,2
Pakal,1,1,0,0,2
Rungkut,1,1,0,0,2
Sambikerep,1,1,0,0,2
Sawahan,0,0,2,0,2
Semampir,3,2,1,0,6
Simokerto,0,2,0,0,2
Sukolilo,1,0,0,0,1
Sukomanunggal,0,2,0,0,2
Tambaksari,0,2,1,0,3
Tandes,1,0,1,0,2
Wonocolo,1,0,0,0,1
Wonokromo,0,2,0,0,2
Jumlah/ Total,17,16,7,0,40
