Banyaknya Madrasah Ibtidaiyah (MI) menurut Akreditasi per Kecamatan 2015/2016,,,,,
Kecamatan,A,B,C,TT,Jumlah/  Total
Asemrowo,0,6,0,0,6
Benowo,2,2,0,0,4
Bubutan,0,1,1,0,2
Bulak,2,4,0,0,6
Dukuh Pakis,1,0,0,0,1
Gayungan,0,1,0,0,1
Genteng,0,0,1,0,1
Gubeng,1,2,2,0,5
Gunung Anyar,0,0,0,0,0
Jambangan,3,0,0,0,3
Karang Pilang,2,1,0,0,3
Kenjeran,6,11,1,0,18
Krembangan,5,2,0,0,7
Lakarsantri,3,1,0,0,4
Pabean Cantikan,1,3,0,0,4
Pakal,2,4,0,0,6
Rungkut,2,0,0,0,2
Sambikerep,3,2,1,0,6
Semampir,5,15,5,0,25
Simokerto,2,4,0,0,6
Sukolilo,0,1,0,0,1
Sukomanunggal,1,-,0,0,1
Tambaksari,4,5,1,0,10
Tandes,4,4,1,0,9
Tegalsari,0,2,0,0,2
Tenggilis Mejoyo,0,0,0,0,0
Wiyung,0,1,0,0,1
Wonocolo,1,1,0,0,2
Wonokromo,1,6,0,0,7
Jumlah,51,79,13,0,143
