Target dan Realisasi Intensifikasi Tanaman Padi (Ha) 2001/2002 - 2015/2016,,,
Tahun,Target (Ha),Realisasi,Presentase
2001/2002,3107,1370,77.52
2002/2003,1899,1728,91.00
2003/2004,2027,1300,64.43
2004/2005,1700,1373,80.76
2005/2006,1486,1482,99.73
2006/2007,1400,1660,118.54
2007/2008,1388,2886,215.70
2008/2009,1449,2886,199.17
2009/2010,1500,2886,199.17
2010/2011,1454,2886,192.40
2011/2012,3153,2379,75.45
2012/2013,3029,2004,66.16
2013/2014,2860,1673,58.50
2014/2015,1956,1868,95.50
2015/2016,2126,2286,95.50
Jumlah,30534,30667,1729.53
