Bulan,Sumber Air,Ngagel I,Ngagel II,Ngagel III,KRPL I,KRPL II,KRPL III
Januari,796,4479,2334,4439,3569,6297,4950
Februari,783,3759,2107,3987,3250,5697,4580
Maret,890,4133,2367,4413,3411,6392,4963
April,876,3982,2243,4281,3467,6239,4932
Mei,908,4177,2300,4367,3507,6462,5089
Juni,839,3968,2219,4342,3322,6196,4889
Juli,918,4109,2383,4465,3556,6366,5011
Agustus,895,4142,2488,4541,3776,6350,5052
September,903,4393,2472,4500,3640,6350,4909
Oktober,904,6962,2396,4775,3793,6556,5098
Nopember,862,4965,2335,4634,3639,6433,4936
Desember,922,5451,2433,4781,3716,6610,5042
